brand_name,vomela_name
4000 Sterling Grey,Noble Silver PN7293
1000 Tan Xtra,Canyon Frost PN7224
1000 WANM Xtra,Gray PN7336
1000 Clay Xtra,Clay PN7355
1000 Aztec Grey Xtra,Aztec Gray PN7389
1000 Nu-White Xtra,Nu White P4555
1000 Oyster Xtra,Oyster PN7294
1000 Pearl Xtra,Vanilla Bean PN7359
1000 CR Champagne Xtra,Canyon Frost PN7224
1000 Beige Xtra,8328 Beige PN7328
1000 8016F Xtra,Sky White PN7238
1000 Taupe Xtra,8342 Taupe PN7327
